,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
11,Shawn Barnett,CrossFit 403,,,,North America,Men (55-59),,295 lb,,175 lb,305 lb,,33:43,5:21,,,,,22:34,170 lb,
26,Sonya Nisbet,,,,,South Central,Women,,85 kg,,60 kg,,,,,,,,,,43 kg,
35,sebastien cayer,CrossFit Sainte Foy,,"2023 open
1296th
worldwide",1296th,worldwide,Men,Men (35-39),365 lb,,,535 lb,389,,,2:52,,,,,225 lb,
36,Blake Baldwin,CrossFit ARX South,,,,North America East,Men,,305 lb,,265 lb,455 lb,257,27:01,3:09,2:59,8:37,,33,22:37,185 lb,
48,Andrew Gleason,Diablo CrossFit,,,,United States,Men,,360 lb,,275 lb,450 lb,349,22:00,,,,,,,165 lb,
60,Michael Goods,CrossFit Uncivilized,,,,Canada,Men,,200 kg,,123 kg,240 kg,,,2:32,,,,60,19:30,100 kg,0:57
104,Blake Houser,,,,,United States,Men,,335 lb,,230 lb,365 lb,,,,,,,,,190 lb,
114,Matthew Kirkpatrick,Performance Edge CrossFit,,"2023 open
3151st
worldwide",3151st,worldwide,Men,Men (45-49),400 lb,,255 lb,395 lb,365,23:48,3:16,2:17,9:51,,45,22:59,175 lb,1:25
121,Alexa Sucato,,,,,North America,Women,,250 lb,,195 lb,315 lb,,27:56,,5:37,,,,26:33,145 lb,
136,greg booth,,,,,,,,325 lb,,215 lb,405 lb,,,4:30,3:50,,,,,175 lb,
155,Norm Reitter,,,,,South West,Men,,151 kg,,97 kg,160 kg,,,5:22,4:48,11:47,,30,32:50,78 kg,2:07
163,Chris Vintinner,802 CrossFit,,,,North America,Men,,235 lb,,175 lb,285 lb,,,,,,,,22:10,142 lb,
170,William Hansen,,,,,United States,Men,,,,,515 lb,,,,,,,2,,235 lb,
180,Thomas Larocco,Crossed Swords CrossFit,,,,United States,Men,,485 lb,,245 lb,485 lb,,,2:47,2:11,,,75,,186 lb,0:49
