,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
18,Carla Campbell,,,,,Mid Atlantic,Women,,230 lb,,,320 lb,,,6:52,5:00,,,,,,
26,Erik Michael,Windy City CrossFit,,,,United States,Men,,375 lb,,255 lb,405 lb,268,31:02,3:45,2:38,,,,,182 lb,
40,Troy Morris,CrossFit 327,,"2023 open
3307th
worldwide",3307th,worldwide,Men,Men (50-54),285 lb,,195 lb,345 lb,,30:06,7:32,,12:07,,22,20:36,150 lb,1:10
56,Cameron Sautner,CrossFit Culmination,,,,North America,Men,,300 lb,,225 lb,365 lb,315,,3:34,,,,,,170 lb,
60,Ellyn Henry,,,"2023 open
3932nd
worldwide",3932nd,worldwide,Women,Women (35-39),275 lb,,203 lb,305 lb,304,,3:54,2:26,10:09,,30,25:16,161 lb,1:15
68,Patrick Ng,La Puente CrossFit,,"2023 quarterfinals
1364th
North America West",1364th,North America West,Men,Men,375 lb,,260 lb,405 lb,319,,3:40,,,,,,210 lb,
70,Brett Bauer,,,,,North West,Men,,285 lb,,185 lb,345 lb,229,,5:24,5:50,9:45,,,,,
71,Rich Sanislo,Yakima YMCA CrossFit,,"2023 open
4436th
worldwide",4436th,worldwide,Men,Men (45-49),,,275 lb,,,,,,,,,,205 lb,
74,Amie Macejkovic,,,,,North Central,Women,,205 lb,,185 lb,315 lb,242,35:21,5:00,2:28,12:02,,,,130 lb,1:45
79,Bugwon Youn,CrossFit Vortex,,,,"Korea, Republic of",Men,,400 lb,,,430 lb,,,,,,,,,,
89,Daniel Graham,,,,,Canada West,Men,,325 lb,,205 lb,410 lb,299,24:58,4:24,,8:55,,,19:33,170 lb,
96,Laura Edwards,CrossFit Creature,,,,Australia,Women,,95 kg,,80 kg,110 kg,,,,,,,,,60 kg,
109,Su Yun Sim,,,,,Asia,Women,,205 lb,,175 lb,280 lb,,,,,,,25,,120 lb,1:30
131,Emily Thilo,Kulshan CrossFit,,,,United States,Women,,265 lb,,185 lb,300 lb,357,,3:38,,,,,,130 lb,
166,Austin Britt,U Can CrossFit,,,,North America,Men,,375 lb,,255 lb,405 lb,306,,6:54,4:04,11:23,,,,215 lb,
189,Nick Cameron,,,,,North West,Men,,350 lb,,235 lb,415 lb,,,2:36,,,,,16:03,160 lb,
196,Nathan Cotterill,CrossFit 2444,,,,Oceania,Men,,220 kg,,145 lb,285 kg,,,3:35,1:40,,,,,117 kg,
198,Lynne Baczynski,,,"2023 open
5119th
worldwide",5119th,worldwide,Women,Women (40-44),205 lb,,145 lb,305 lb,259,,7:58,3:35,,,,,105 lb,
214,Robert Mackey,Back Alley CrossFit,,,,North America,Men (55-59),,325 lb,,210 lb,350 lb,,,,,,,35,,155 lb,
230,Simone Abelli,,,,,Europe,Men,,170 kg,,125 kg,220 kg,,,3:01,2:04,,,46,,105 kg,
231,Kimberley Gerdes,CrossFit ALKZZ,,,,Australia,Women,,,,,114 kg,,,,,,,,,,
234,Gus Schultz,,,,,North West,Men,,400 lb,,,500 lb,,,3:20,,,,40,18:32,145 lb,
235,Rory Fulton,Boombox CrossFit North,,"2023 open
50621st
worldwide",50621st,worldwide,Men,Men,440 lb,,305 lb,500 lb,,,5:00,,13:00,,,23:00,225 lb,
240,Ashleigh Birkett,CrossFit Katoomba,,,,Australia,Women,,93 kg,,58 kg,115 kg,,,,3:45,,,15,33:00,45 kg,
243,Henk Horjus,CrossFit Uncontained II,,,,Africa,Men,,135 kg,,,180 kg,,,,,,,,,,1:08
250,Ashley Showers,CrossFit Alakai,,,,North America,Women,,255 lb,,175 lb,295 lb,,,,4:05,,,,,140 lb,1:35
262,Karoliina Paukkala,,,,,,,,140 kg,,93 kg,130 kg,,,,,,,,,70 kg,
270,Perttu Perkola,CrossFit Herttoniemi,,,,Europe,Men,,155 kg,,90 kg,185 kg,,,,,,,,,60 kg,
272,Erik Almgren,,,,,Europe,Men,,155 kg,,100 kg,175 kg,,,,,,,,,75 kg,
275,Alex Parkes,,,,,Europe,Men,,175 kg,,110 kg,178 kg,,,3:15,,,,,,80 kg,
282,Justin King,,,,,South East,Men,,350 lb,,215 lb,450 lb,274,29:16,5:14,3:48,10:14,,27,25:22,155 lb,
298,Victor Morris,CrossFit Paratodos,,"2023 quarterfinals
1164th
worldwide",1164th,worldwide,Men,Men (35-39),350 lb,,288 lb,435 lb,,,2:25,,,,42,18:32,225 lb,0:56
299,Meghan Edmonston,CrossFit TakeOff,,"2023 open
10341st
worldwide",10341st,worldwide,Women,Women (35-39),70 kg,,,240 lb,,,,,,,,21:20,,
