,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
0,Sarah Lake,,,,,Canada East,Women,,280 lb,,185 lb,330 lb,377,22:49,5:14,3:13,,,10,,140 lb,1:28
3,JD White,MBS CrossFit,,,,South West,Men,,345 lb,,275 lb,525 lb,,18:58,3:05,2:06,8:04,,44,19:11,200 lb,0:58
7,Tristan Nardella,,,,,Australia,Men,,160 kg,,115 kg,180 kg,,,,,,,30,,105 kg,
9,Steve Hayman,,,,,Northern California,Men,,275 lb,,215 lb,335 lb,262,,7:57,4:54,,,,,180 lb,1:25
10,Virginia Ki,Full Metal CrossFit,,,,Canada,Women,,265 lb,,205 lb,305 lb,,,,,,,,,170 lb,
15,Bud Pearce,,,,,South East,Men,,315 lb,,226 lb,397 lb,333,22:25,3:52,4:45,8:48,,40,,158 lb,1:11
17,Cynthia Truax,Cyn Gym CrossFit,,"2023 open
352nd
worldwide",352nd,worldwide,Women (55-59),Women (55-59),,,,,,,,,,,,30:00,,
18,Garner Mabry,Method CrossFit,,,,North America,Men,,350 lb,,265 lb,400 lb,,,2:44,2:24,,,60,21:00,225 lb,0:57
22,Matthew Brewster,,,,,South East,Men,,440 lb,,310 lb,410 lb,,25:32,4:11,2:50,8:52,,34,25:31,265 lb,1:03
23,Denita Nickel-Woodward,Chinook CrossFit,,,,Canada West,Women,,195 lb,,130 lb,265 lb,,25:27,,4:54,,,,32:33,95 lb,
24,Lauren Oksuzler,,,,,South Central,Women,,250 lb,,165 lb,330 lb,,,,,,,,,115 lb,
25,Jared Jankowski,CrossFit Aggieland,,,,North America,Men,,400 lb,,325 lb,450 lb,,,2:10,1:23,,,50,,265 lb,0:56
28,Shawn Carlo,CrossFit Oxnard,,,,West Coast,Men,,365 lb,,255 lb,430 lb,289,,5:31,2:31,12:21,,30,,205 lb,1:10
